,Princess of Mars,"The Lion, the Witch and the Wardrobe",Tales of the Dying Earth,The Lord of the Rings,The Once and Future King,Something Wicked This Way Comes,Witch World,A Wrinkle in Time,Lord of Light,Pavane,The Last Unicorn,The Amber Chronicles,Roadside Picnic,The Princess Bride,The Chronicles of Thomas Covenant the Unbeliever,The Sword of Shannara Trilogy,The Mists of Avalon,Wild Seed,Discworld,Neuromancer,Howl's Moving Castle,The Belgariad,The Farseer Trilogy,A Song of Ice and Fire,Harry Potter Series,Brown Girl in the Ring,Cry of the Wind,Perdido Street Station,American Gods,Jonathan Strange and Mr. Norrell,The Way of Kings,Licht - Die Trilogie: Drei Romaine,Among Others
Princess of Mars,,3.1683464,4.5445666,5.8373723,4.7698646,4.5352354,4.2926593,4.4544663,4.6279793,3.9063869,3.8554819,3.5603094,4.039495,3.8267515,3.1765296,4.7237473,2.7930577,3.527781,3.6588256,3.2106452,3.1486146,3.411352,4.385001,3.1631417,2.0871847,3.2644083,3.0407755,3.089122,2.0932193,3.2634833,4.1582475,4.0670376,4.164862
"The Lion, the Witch and the Wardrobe",3.1683464,,6.5435576,7.157733,6.701973,7.0127335,6.145364,3.7746532,6.0969176,5.797786,7.201693,5.5062733,5.406963,7.149472,4.973246,6.213136,6.499532,4.503487,5.606169,4.8573947,5.3383975,6.571256,6.709443,6.240001,6.626927,4.8000717,4.766995,4.54598,4.5854383,5.721744,5.4137044,6.955382,6.505784
Tales of the Dying Earth,4.5445666,6.5435576,,6.5224504,6.560413,6.895235,6.203997,4.7085304,6.578794,6.424929,6.6373363,5.437582,5.6803207,6.9713154,4.95665,6.3759418,5.948299,5.534631,5.6176777,5.9984984,6.557898,6.3263516,7.278051,6.1227827,5.3294997,6.1094627,6.1113443,4.5495067,5.281082,6.059555,6.9105153,7.1009,6.8277917
The Lord of the Rings,5.8373723,7.157733,6.5224504,,8.211776,7.1820436,6.604273,6.1036186,5.8819404,5.301015,7.973156,6.0346746,5.524257,7.588115,5.107015,6.0708885,7.0040693,4.202973,5.71467,4.2658587,4.435347,7.061393,6.0693483,6.5588593,5.726195,4.2304726,4.0718737,5.042548,4.478262,5.7620997,4.9763427,7.1262984,6.529917
The Once and Future King,4.7698646,6.701973,6.560413,8.211776,,7.1015463,6.477466,5.069734,6.210596,5.8076844,7.2993627,5.806312,5.6896634,7.551534,5.082375,6.2487116,6.3673186,4.7344933,5.7169952,4.9672785,5.299767,6.7905536,6.6294494,6.709961,5.522471,4.9728107,4.875951,4.8584027,5.3040485,6.0660343,5.728941,7.267358,6.7328296
Something Wicked This Way Comes,4.5352354,7.0127335,6.895235,7.1820436,7.1015463,,6.6051235,4.819242,6.8983774,6.708402,7.1501412,5.8129396,5.979524,7.5107536,5.283948,6.736075,6.4879465,5.678797,5.980125,6.158651,6.738066,6.8175616,7.6226497,6.6467857,5.8507395,6.2419796,6.2378626,4.8677163,6.0175147,6.6006017,7.047397,7.6576734,7.3007693
Witch World,4.2926593,6.145364,6.203997,6.604273,6.477466,6.6051235,,4.491516,6.170198,5.9572253,6.5580587,5.270599,5.4867864,6.664841,4.750338,6.040024,5.67946,5.053984,5.3888135,5.4333897,5.902456,6.0420585,6.762111,5.8632917,5.049875,5.5082526,5.481168,4.409149,5.1572175,5.834998,6.257809,6.8134723,6.582563
A Wrinkle in Time,4.4544663,3.7746532,4.7085304,6.1036186,5.069734,4.819242,4.491516,,4.8549595,4.339783,4.400113,3.8208706,4.2208467,4.341691,3.4053385,4.7525816,3.3497765,3.9057982,3.8965867,3.7733514,3.8670285,3.8983285,4.887709,3.6598141,2.6821003,3.8448205,3.6872115,3.273639,2.625018,3.7049968,4.6860037,4.530417,4.5269637
Lord of Light,4.6279793,6.0969176,6.578794,5.8819404,6.210596,6.8983774,6.170198,4.8549595,,6.9158363,6.2521954,5.3369856,5.751347,7.4085736,5.0114427,6.5636597,6.404103,6.1018233,5.6931,6.7417245,7.499536,6.7065535,7.6218762,6.512704,5.894272,6.915639,7.0064535,4.468427,5.6439424,6.3898916,7.7251134,7.468299,7.1255617
Pavane,3.9063869,5.797786,6.424929,5.301015,5.8076844,6.708402,5.9572253,4.339783,6.9158363,,5.906729,5.128038,5.807744,7.334736,4.898223,6.4685187,6.148068,5.820823,5.5725026,7.0767436,7.8534317,6.615169,7.8020835,6.318263,5.583051,7.3754206,7.4464564,4.2856145,5.0137196,6.1732187,7.401752,7.3572206,7.065358
